s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000,-6.8023892E-008, 4.4408921E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.8023892E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0339253E+000, 8.3281562E+001,-1.6488791E+001, 1.0972185E+000,-1.3424693E-001,-1.5319339E-003, 0.0000000E+000, 0.0000000E+000, 2.2367290E+001, 6.7754211E+001, 0.0000000E+000, 7.2020469E-004, 0.0000000E+000
 2.0133085E+000, 7.8585038E+001,-2.7336590E+001,-6.5559587E+000,-3.4492489E-001,-3.6977221E-003, 0.0000000E+000, 0.0000000E+000, 5.2008916E+001, 4.4343867E+001, 0.0000000E+000, 1.2462695E-003, 0.0000000E+000
 3.0065143E+000, 6.0888075E+001,-1.4661479E+001,-6.6233888E+001,-3.3558887E-001,-4.0345981E-003, 0.0000000E+000, 0.0000000E+000,-2.1164841E+001,-2.0346915E+001, 0.0000000E+000, 1.3614377E-003, 0.0000000E+000
 4.0113688E+000, 6.2306540E+001,-1.4857181E+001,-4.7322092E+001,-3.6280552E-001,-4.0927160E-003, 0.0000000E+000, 0.0000000E+000,-4.2924130E-001,-2.3963146E-001, 0.0000000E+000, 1.3789467E-003, 0.0000000E+000
 5.0162230E+000, 6.2781990E+001,-1.5013767E+001,-4.7105673E+001,-3.0716297E-001,-4.1039766E-003, 0.0000000E+000, 0.0000000E+000, 3.2977598E-001, 3.5128341E-001, 0.0000000E+000, 1.3813278E-003, 0.0000000E+000
 6.0210776E+000, 6.2661128E+001,-1.4766295E+001,-4.7625615E+001,-2.9444866E-001,-4.1055389E-003, 0.0000000E+000, 0.0000000E+000, 5.4307862E-002,-2.9336267E-002, 0.0000000E+000, 1.3816473E-003, 0.0000000E+000
 7.0259318E+000, 6.2668867E+001,-1.4995802E+001,-4.7302821E+001,-2.9369239E-001,-4.1055615E-003, 0.0000000E+000, 0.0000000E+000, 9.6077337E-002, 7.2445697E-002, 0.0000000E+000, 1.3816902E-003, 0.0000000E+000
 8.0307865E+000, 6.2664851E+001,-1.4932361E+001,-4.7433017E+001,-3.2169286E-001,-4.1062186E-003, 0.0000000E+000, 0.0000000E+000,-5.7511311E-002,-2.6325739E-002, 0.0000000E+000, 1.3816959E-003, 0.0000000E+000
