Time,Mass,Back Surface Temperature 1,Back Surface Temperature 2
[s],[g],[K],[K]
0,67.02,318,320
1,69.02,318,320
2,68.9,318,320
3,68.9,318,320
4,69.3,318,320
5,69.79,318,320
6,70.03,318,320
7,70.03,318,320
8,70.2,318,320
9,70.41,318,320
10,70.54,318,320
11,70.54,318,320
12,70.66,318,321
13,70.81,318,321
14,70.81,318,321
15,70.86,318,321
16,70.9,318,321
17,70.99,319,321
18,71.03,319,321
19,71.03,319,321
20,71.07,319,321
21,71.08,319,321
22,71.05,319,321
23,71.05,319,321
24,70.97,319,321
25,70.8,319,322
26,70.8,320,322
27,70.67,320,322
28,70.42,320,322
29,70.42,320,322
30,70.26,320,323
31,69.96,320,323
32,69.96,321,323
33,69.78,321,323
34,69.46,321,324
35,69.46,322,324
36,69.25,322,325
37,68.94,322,325
38,68.71,322,325
39,68.71,323,326
40,68.48,323,326
41,68.11,324,326
42,68.11,324,327
43,68.11,324,327
44,67.87,324,328
45,67.51,325,328
46,67.51,325,329
47,67.21,326,329
48,66.84,326,330
49,66.58,326,330
50,66.58,327,331
51,66.31,328,332
52,65.88,328,333
53,65.88,329,334
54,65.56,330,335
55,65.05,330,335
56,65.05,331,336
57,64.91,331,336
58,64.77,331,337
59,64.36,332,337
60,64.36,332,338
61,64.04,333,339
62,63.63,334,340
63,63.35,335,341
64,63.35,335,342
65,63.08,336,343
66,62.67,337,344
67,62.38,337,345
68,62.38,338,345
69,62.09,339,346
70,61.64,339,347
71,61.64,340,349
72,61.35,341,350
73,60.9,342,351
74,60.9,343,352
75,60.62,343,352
76,60.2,344,353
77,59.92,345,354
78,59.92,346,355
79,59.61,347,356
80,59.14,348,357
81,59.14,349,359
82,58.84,349,360
83,58.43,350,361
84,58.15,351,362
85,58.15,352,362
86,57.92,353,363
87,57.49,353,364
88,57.23,354,365
89,57.23,356,365
90,56.95,356,366
91,56.56,357,367
92,56.56,358,369
93,56.24,359,369
94,55.83,360,370
95,55.53,360,371
96,55.53,361,371
97,55.53,361,371
98,55.18,362,372
99,54.71,363,373
100,54.71,364,374
101,54.41,365,375
102,53.89,366,376
103,53.89,366,376
104,53.53,367,377
105,53.11,368,378
106,53.11,369,379
107,52.77,370,380
108,52.33,370,381
109,52.03,372,381
110,52.03,373,383
111,51.73,374,384
112,51.25,375,385
113,51.25,375,386
114,50.89,376,387
115,50.47,378,387
116,50.16,378,388
117,50.16,379,390
118,49.86,380,391
119,49.43,381,392
120,49.43,382,393
121,49.08,383,394
122,48.63,384,394
123,48.33,385,395
124,48.33,386,396
125,48.03,387,398
126,47.58,388,399
127,47.26,389,400
128,47.26,390,401
129,47.26,390,401
130,46.95,391,403
131,46.31,392,404
132,46.31,393,404
133,45.96,394,405
134,45.51,395,406
135,45.2,396,408
136,45.2,398,409
137,44.88,399,410
138,44.43,400,411
139,44.11,401,412
140,44.11,402,413
141,43.64,403,414
142,43.33,404,416
143,43.33,405,417
144,43.01,406,418
145,42.56,407,419
146,42.22,408,420
147,42.22,409,421
148,42.22,410,421
149,41.89,411,423
150,41.45,412,424
151,41.11,413,425
152,40.77,414,426
153,40.44,416,427
154,40.44,417,430
155,40.11,418,431
156,39.65,420,432
157,39.32,421,433
158,39.32,422,434
159,38.99,423,435
160,38.52,424,436
161,38.17,425,438
162,38.17,426,439
163,37.84,427,439
164,37.31,429,441
165,37.31,431,443
166,36.97,432,444
167,36.48,433,446
168,36.14,434,447
169,36.14,435,448
170,35.79,436,449
171,35.25,438,450
172,35.25,439,452
173,34.9,440,453
174,34.39,441,454
175,34.04,444,456
176,34.04,445,457
177,33.51,446,460
178,33.15,447,461
179,33.15,449,462
180,32.8,449,464
181,32.29,451,465
182,31.94,452,467
183,31.94,453,467
184,31.57,455,469
185,30.98,458,470
186,30.98,459,473
