Time(s),Temperature(°C),(mg)
0,40.100000,-0.000117044
1,40.100000,-7.74909e-07
2,40.100000,-0.000229263
3,40.000000,-0.00018977
4,40.000000,-0.000152239
5,40.000000,-7.9135e-05
6,40.000000,-0.000106339
7,40.000000,1.2903e-05
8,40.000000,7.14946e-05
9,40.000000,0.000149913
10,40.000000,0.000207679
11,40.000000,0.000314143
12,40.000000,0.000527225
13,40.000000,0.000673291
14,40.000000,0.000852445
15,40.000000,0.000964707
16,40.000000,0.00111116
17,40.000000,0.00119674
18,40.000000,0.00125897
19,40.000000,0.00113102
20,40.000000,0.00123699
21,40.000000,0.00141793
22,40.000000,0.00163042
23,40.000000,0.00184023
24,40.000000,0.00205094
25,40.000000,0.00230897
26,40.000000,0.0023915
27,40.000000,0.00247874
28,39.900000,0.00255772
29,39.900000,0.00261979
30,39.900000,0.00265806
31,39.900000,0.00265771
32,39.900000,0.00266379
33,39.900000,0.00268725
34,39.900000,0.00273971
35,39.900000,0.00271955
36,39.900000,0.00271388
37,39.900000,0.0027938
38,39.900000,0.00252801
39,39.900000,0.00224302
40,39.900000,0.00225877
41,39.900000,0.00226836
42,39.900000,0.00228832
43,39.900000,0.00232854
44,39.900000,0.00238543
45,39.900000,0.00246506
46,39.900000,0.00254883
47,39.900000,0.00265383
48,39.900000,0.0027775
49,39.900000,0.0029313
50,39.900000,0.00309477
51,39.900000,0.00329678
52,39.900000,0.00346406
53,39.900000,0.00360468
54,39.900000,0.00361427
55,39.900000,0.00353656
56,39.900000,0.00357612
57,39.900000,-1.27482
58,39.800000,0.00307705
59,39.900000,-1.27255
60,39.900000,0.00388176
61,39.900000,0.00410088
62,39.900000,0.00408207
63,39.900000,0.00443191
64,39.900000,0.00468756
65,39.900000,-1.27402
66,39.800000,0.00462078
67,39.800000,0.00494448
68,39.800000,0.00676196
69,39.800000,0.00698009
70,39.800000,0.00709593
71,39.800000,0.00747025
72,39.800000,-1.26967
73,39.800000,0.00820242
74,39.800000,0.00791485
75,39.800000,0.00797341
76,39.800000,0.00807492
77,39.800000,0.00780474
78,39.800000,0.00709101
79,39.800000,0.00736641
80,39.800000,0.00722652
81,39.800000,0.00768728
82,39.800000,0.00794709
83,39.800000,0.00813069
