s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000,-1.0679431E-007,-2.5681310E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0705112E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.7032804E-001, 8.4527606E+000,-1.8428664E+000, 1.0892487E-001,-8.6474184E-002,-9.8601916E-004, 0.0000000E+000, 0.0000000E+000, 4.7411509E+000, 6.6313589E+000, 0.0000000E+000, 2.3516670E-004, 0.0000000E+000
 6.7506433E-001, 2.6018391E+001,-8.8581637E+000, 2.7632366E-001,-3.8629912E-001,-2.8940617E-003, 0.0000000E+000, 0.0000000E+000, 1.5997688E+001, 1.7047358E+001, 0.0000000E+000, 5.6714798E-004, 0.0000000E+000
 1.0051624E+000, 3.8436702E+001,-7.1126192E+000, 5.1849546E-001,-3.1210842E-001,-4.0703607E-003, 0.0000000E+000, 0.0000000E+000, 3.1076592E+001, 3.1526399E+001, 0.0000000E+000, 7.9400336E-004, 0.0000000E+000
 1.3357247E+000, 4.5555077E+001,-8.5035282E+000, 6.0094844E-001,-4.9397416E-001,-4.7788534E-003, 0.0000000E+000, 0.0000000E+000, 3.6980202E+001, 3.7153744E+001, 0.0000000E+000, 9.5295309E-004, 0.0000000E+000
 1.6669288E+000, 5.1736896E+001,-9.5727328E+000, 6.9514358E-001,-5.2957510E-001,-5.2536397E-003, 0.0000000E+000, 0.0000000E+000, 4.2306241E+001, 4.2324478E+001, 0.0000000E+000, 1.0469326E-003, 0.0000000E+000
 2.0000348E+000, 5.4853449E+001,-1.0306958E+001, 4.7875854E-001,-5.5071822E-001,-5.4845945E-003, 0.0000000E+000, 0.0000000E+000, 4.4474747E+001, 4.4469047E+001, 0.0000000E+000, 1.0991346E-003, 0.0000000E+000
 2.3351982E+000, 5.5744363E+001,-1.0423992E+001,-3.4696704E+001,-7.4102406E-001,-5.5952415E-003, 0.0000000E+000, 0.0000000E+000, 1.0146743E+001, 9.8770471E+000, 0.0000000E+000, 1.1272172E-003, 0.0000000E+000
 2.6684198E+000, 5.5862601E+001,-1.0470647E+001,-4.8457622E+001,-7.0419335E-001,-5.6480895E-003, 0.0000000E+000, 0.0000000E+000,-3.7036197E+000,-3.7755098E+000, 0.0000000E+000, 1.1418997E-003, 0.0000000E+000
 3.0013657E+000, 5.6706089E+001,-1.0651699E+001,-3.8450857E+001,-6.9144340E-001,-5.6894214E-003, 0.0000000E+000, 0.0000000E+000, 6.9238311E+000, 6.9064005E+000, 0.0000000E+000, 1.1494734E-003, 0.0000000E+000
 3.3370616E+000, 5.7467565E+001,-1.0735855E+001,-4.0981655E+001,-6.2792737E-001,-5.7316561E-003, 0.0000000E+000, 0.0000000E+000, 5.0569536E+000, 5.1163952E+000, 0.0000000E+000, 1.1533943E-003, 0.0000000E+000
 3.6700058E+000, 5.7008802E+001,-1.0629928E+001,-4.2011467E+001,-5.8660782E-001,-5.7459159E-003, 0.0000000E+000, 0.0000000E+000, 3.8714386E+000, 3.7750528E+000, 0.0000000E+000, 1.1554109E-003, 0.0000000E+000
 4.0006132E+000, 5.7294676E+001,-1.0625209E+001,-3.8552479E+001,-5.8845444E-001,-5.7606057E-003, 0.0000000E+000, 0.0000000E+000, 7.4151310E+000, 7.5227728E+000, 0.0000000E+000, 1.1564393E-003, 0.0000000E+000
 4.3339319E+000, 5.8220282E+001,-1.0853573E+001,-4.5269649E+001,-5.6952165E-001,-5.7793531E-003, 0.0000000E+000, 0.0000000E+000, 1.6144953E+000, 1.5217589E+000, 0.0000000E+000, 1.1569691E-003, 0.0000000E+000
 4.6672511E+000, 5.7430231E+001,-1.0675859E+001,-4.6089722E+001,-5.8878514E-001,-5.7592498E-003, 0.0000000E+000, 0.0000000E+000, 6.1727352E-002, 7.0106538E-002, 0.0000000E+000, 1.1572429E-003, 0.0000000E+000
 5.0041180E+000, 5.7771968E+001,-1.0717910E+001,-4.2983349E+001,-6.0264134E-001,-5.7432306E-003, 0.0000000E+000, 0.0000000E+000, 3.3698116E+000, 3.4623252E+000, 0.0000000E+000, 1.1573839E-003, 0.0000000E+000
 5.3349400E+000, 5.7364847E+001,-1.0735350E+001,-4.0845052E+001,-5.9474937E-001,-5.7349619E-003, 0.0000000E+000, 0.0000000E+000, 5.1160294E+000, 5.1839608E+000, 0.0000000E+000, 1.1574560E-003, 0.0000000E+000
 5.6683464E+000, 5.7036384E+001,-1.0558619E+001,-4.0705399E+001,-5.9109606E-001,-5.7376009E-003, 0.0000000E+000, 0.0000000E+000, 5.2354081E+000, 5.1755330E+000, 0.0000000E+000, 1.1574928E-003, 0.0000000E+000
 6.0031023E+000, 5.8022458E+001,-1.0817398E+001,-4.6748465E+001,-5.7170891E-001,-5.7675837E-003, 0.0000000E+000, 0.0000000E+000,-5.0203403E-002,-1.2088193E-001, 0.0000000E+000, 1.1575118E-003, 0.0000000E+000
 6.3371792E+000, 5.6506399E+001,-1.0525587E+001,-4.6480213E+001,-6.0153030E-001,-5.7435806E-003, 0.0000000E+000, 0.0000000E+000,-1.2615044E+000,-1.1066752E+000, 0.0000000E+000, 1.1575216E-003, 0.0000000E+000
 6.6716537E+000, 5.8032579E+001,-1.0809050E+001,-4.5547020E+001,-6.0779417E-001,-5.7632445E-003, 0.0000000E+000, 0.0000000E+000, 1.0543533E+000, 1.0629521E+000, 0.0000000E+000, 1.1575266E-003, 0.0000000E+000
 7.0015574E+000, 5.7686644E+001,-1.0739831E+001,-4.4121430E+001,-5.7766222E-001,-5.7700287E-003, 0.0000000E+000, 0.0000000E+000, 2.2255521E+000, 2.2419511E+000, 0.0000000E+000, 1.1575291E-003, 0.0000000E+000
 7.3372707E+000, 5.7277194E+001,-1.0677593E+001,-5.4128243E+001,-6.1185703E-001,-5.7624214E-003, 0.0000000E+000, 0.0000000E+000,-8.0516151E+000,-8.1462615E+000, 0.0000000E+000, 1.1575305E-003, 0.0000000E+000
 7.6680160E+000, 5.7130531E+001,-1.0598049E+001,-4.4467279E+001,-6.2477822E-001,-5.7482006E-003, 0.0000000E+000, 0.0000000E+000, 1.3423511E+000, 1.4346778E+000, 0.0000000E+000, 1.1575311E-003, 0.0000000E+000
 8.0037098E+000, 5.7984343E+001,-1.0785733E+001,-4.0522615E+001,-5.7996772E-001,-5.7905862E-003, 0.0000000E+000, 0.0000000E+000, 6.0657505E+000, 6.0902363E+000, 0.0000000E+000, 1.1575315E-003, 0.0000000E+000
 8.3351889E+000, 5.7415819E+001,-1.0715577E+001,-3.4296534E+001,-5.8682017E-001,-5.7715120E-003, 0.0000000E+000, 0.0000000E+000, 1.1842625E+001, 1.1811116E+001, 0.0000000E+000, 1.1575317E-003, 0.0000000E+000
 8.6717024E+000, 5.7184333E+001,-1.0647341E+001,-5.1174983E+001,-6.1788486E-001,-5.7772033E-003, 0.0000000E+000, 0.0000000E+000,-5.3587764E+000,-5.2616534E+000, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 9.0047617E+000, 5.6527446E+001,-1.0545251E+001,-5.0943140E+001,-7.2046697E-001,-5.7411392E-003, 0.0000000E+000, 0.0000000E+000,-5.5292336E+000,-5.6871527E+000, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 9.3371925E+000, 5.8496764E+001,-1.0914882E+001,-4.5044355E+001,-6.3498022E-001,-5.7909408E-003, 0.0000000E+000, 0.0000000E+000, 1.9752313E+000, 1.8967557E+000, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 9.6666822E+000, 5.7763430E+001,-1.0780105E+001,-5.7526369E+001,-6.4916872E-001,-5.7660381E-003, 0.0000000E+000, 0.0000000E+000,-1.1317612E+001,-1.1197978E+001, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 1.0005448E+001, 5.6984173E+001,-1.0578082E+001,-4.1103979E+001,-6.2264338E-001,-5.7636385E-003, 0.0000000E+000, 0.0000000E+000, 4.6067802E+000, 4.6737046E+000, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 1.0333713E+001, 5.7344295E+001,-1.0601530E+001,-4.2067465E+001,-6.1307752E-001,-5.7489924E-003, 0.0000000E+000, 0.0000000E+000, 4.0951069E+000, 4.0564737E+000, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 1.0669660E+001, 5.7558696E+001,-1.0718206E+001,-4.2321504E+001,-6.0401128E-001,-5.7610118E-003, 0.0000000E+000, 0.0000000E+000, 3.8497564E+000, 3.9092131E+000, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 1.1004966E+001, 5.7513481E+001,-1.0723219E+001,-4.5517904E+001,-5.9823876E-001,-5.7374255E-003, 0.0000000E+000, 0.0000000E+000, 5.9143952E-001, 6.6838156E-001, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 1.1334596E+001, 5.7831559E+001,-1.0752047E+001,-4.1612757E+001,-5.7723012E-001,-5.7616959E-003, 0.0000000E+000, 0.0000000E+000, 4.8970003E+000, 4.8837631E+000, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 1.1666964E+001, 5.7084136E+001,-1.0656323E+001,-5.4346866E+001,-5.9911598E-001,-5.7741938E-003, 0.0000000E+000, 0.0000000E+000,-8.5412560E+000,-8.5239426E+000, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 1.2003691E+001, 5.7250100E+001,-1.0662361E+001,-4.5032752E+001,-6.4492112E-001,-5.7608205E-003, 0.0000000E+000, 0.0000000E+000, 7.9047572E-001, 9.0430506E-001, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 1.2335264E+001, 5.7833936E+001,-1.0740266E+001,-4.1913440E+001,-6.1269458E-001,-5.7769949E-003, 0.0000000E+000, 0.0000000E+000, 4.6270255E+000, 4.5617586E+000, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
 1.2667841E+001, 5.7657184E+001,-1.0710596E+001,-4.5406224E+001,-6.0790387E-001,-5.7763215E-003, 0.0000000E+000, 0.0000000E+000, 9.4713010E-001, 9.2668334E-001, 0.0000000E+000, 1.1575318E-003, 0.0000000E+000
